School Name,School Code,Subject,M+E #,M+E %,E #,E %,M #,M %,PM #,PM %,NM #,NM %,Student Included,Avg. Scaled Score,SGP,Included In SGP,Ach. PCTL
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,ELA,         307,42,          23,3,         284,39,         362,50,          55,8,         724,     496.2,          55.0,         587,36
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,MATH,         255,35,          16,2,         239,33,         405,56,          64,9,         724,     494.0,          48.0,         587,29
Abington - Abington Middle School,00010405,ELA,         155,48,          23,7,         132,41,         151,47,          15,5,         321,     499.8,          48.0,         315,50
Abington - Abington Middle School,00010405,MATH,         139,43,          24,7,         115,36,         170,53,          13,4,         322,     499.2,          58.0,         317,49
Abington - Beaver Brook Elementary School,00010003,ELA,         143,50,          12,4,         131,46,         116,41,          26,9,         285,     498.9,          53.0,         137,46
Abington - Beaver Brook Elementary School,00010003,MATH,         122,43,          12,4,         110,39,         126,44,          36,13,         284,     495.7,          66.0,         137,35
Abington - Woodsdale Elementary School,00010015,ELA,         209,61,          21,6,         188,55,         116,34,          16,5,         341,     502.8,          62.0,         325,64
Abington - Woodsdale Elementary School,00010015,MATH,         196,58,          22,6,         174,51,         130,38,          14,4,         340,     503.0,          66.0,         322,66
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,ELA,         110,35,          13,4,          97,31,         157,50,          44,14,         311,     493.6,          45.0,         289,26
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,MATH,          88,28,           4,1,          84,27,         186,60,          37,12,         311,     490.6,          38.0,         289,20
Acton-Boxborough - Blanchard Memorial School,06000005,ELA,         187,77,          39,16,         148,61,          50,20,           7,3,         244,     511.8,          66.0,         188,94
Acton-Boxborough - Blanchard Memorial School,06000005,MATH,         185,76,          48,20,         137,56,          51,21,           8,3,         244,     512.3,          60.0,         188,93
Acton-Boxborough - C.T. Douglas Elementary School,06000020,ELA,         190,68,          47,17,         143,51,          81,29,           8,3,         279,     508.7,          63.5,         202,86
Acton-Boxborough - C.T. Douglas Elementary School,06000020,MATH,         175,63,          39,14,         136,49,          89,32,          14,5,         278,     507.2,          64.0,         203,81
Acton-Boxborough - Luther Conant School,06000030,ELA,         225,77,          61,21,         164,56,          61,21,           5,2,         291,     514.2,          71.0,         206,97
Acton-Boxborough - Luther Conant School,06000030,MATH,         231,79,          93,32,         138,47,          52,18,          10,3,         293,     517.9,          76.0,         208,99
Acton-Boxborough - McCarthy-Towne School,06000015,ELA,         155,57,          22,8,         133,49,         107,39,          11,4,         273,     503.3,          53.0,         197,65
Acton-Boxborough - McCarthy-Towne School,06000015,MATH,         170,62,          34,12,         136,50,          92,34,          12,4,         274,     505.3,          57.0,         198,74
Acton-Boxborough - Merriam School,06000010,ELA,         203,65,          33,11,         170,54,         103,33,           8,3,         314,     507.4,          66.5,         222,82
Acton-Boxborough - Merriam School,06000010,MATH,         219,70,          52,17,         167,53,          81,26,          14,4,         314,     510.3,          75.0,         225,89
Acton-Boxborough - Paul P Gates Elementary School,06000025,ELA,         182,76,          59,25,         123,51,          52,22,           5,2,         239,     514.6,          71.0,         185,97
Acton-Boxborough - Paul P Gates Elementary School,06000025,MATH,         189,79,          62,26,         127,53,          42,18,           8,3,         239,     517.1,          77.0,         185,98
