SCHOOL,ORG CODE,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School, 04450105,48.5,4,22,22.9,0.1,0.1,2.3,47.3,52.7
Abington - Abington High, 00010505,2.2,1.5,9.1,85.8,0.2,0.2,0.9,45.6,54.4
Abington - Beaver Brook Elementary School, 00010003,1.9,1.9,6.7,88.4,0.5,0.2,0.3,50.2,49.8
Abington - Center Elementary School, 00010002,3.9,3,8.4,84.7,0,0,0,54.2,45.8
Abington - Frolio Middle School, 00010405,2.4,1.8,6.1,89.3,0,0,0.3,53.4,46.6
Abington - Woodsdale Elementary School, 00010015,2,1.4,4.2,92.1,0,0,0.3,50.7,49.3
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School, 04120530,58.1,0.9,27.3,10.4,0,0.2,3,47.4,52.6
Acton-Boxborough - Acton-Boxborough Regional High, 06000505,1.5,28.2,3.4,63,0.2,0,3.7,50.6,49.4
Acton-Boxborough - Blanchard Memorial School, 06000005,1.7,33.2,3.1,58.6,0.5,0,2.9,51.8,48.2
Acton-Boxborough - C.T. Douglas Elementary School, 06000020,0.2,24.3,3.3,65.8,0.2,0,6.1,52,48
Acton-Boxborough - Carol Huebner Early Childhood Program, 06000001,5.2,40.2,3.1,46.4,3.1,0,2.1,59.8,40.2
Acton-Boxborough - Luther Conant School, 06000030,2.9,60.8,4.2,29.5,0,0,2.7,50.1,49.9
Acton-Boxborough - McCarthy-Towne School, 06000015,3.4,11.4,9.1,70.1,0.6,0,5.5,51.2,48.8
Acton-Boxborough - Merriam School, 06000010,2.5,20.5,5.4,68.1,0,0.2,3.3,53.8,46.2
Acton-Boxborough - Paul P Gates Elementary School, 06000025,1.7,51,3.5,39.9,1,0.2,2.7,52.5,47.5
Acton-Boxborough - Raymond J Grey Junior High, 06000405,2,31.8,3.7,56.8,0.1,0,5.6,52.3,47.7
Acushnet - Acushnet Elementary School, 00030025,0.7,0.2,3.3,92.8,0.2,0,2.8,53.2,46.8
Acushnet - Albert F Ford Middle School, 00030305,0.7,0.2,1,97.4,0,0,0.7,50.8,49.2
Adams-Cheshire - Cheshire Elementary, 06030004,4.1,0.4,1.2,93.4,0,0,0.8,47.1,52.9
Adams-Cheshire - Hoosac Valley Middle & High School, 06030505,5.1,1.3,1.4,91.8,0.2,0,0.2,50,50
Adams-Cheshire - Plunkett Elementary, 06030020,4,0.2,2.2,89.8,0.2,0.2,3.3,52.3,47.7
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School, 04300305,2.4,19.2,5.8,66.9,0.3,0,5.4,51.7,48.3
Agawam - Agawam Early Childhood Center, 00050003,4.6,8.6,12.6,71.5,0,0,2.6,57.6,42.4
Agawam - Agawam High, 00050505,1.2,2.2,5.8,88.8,0,0.1,1.9,52,48
Agawam - Agawam Junior High, 00050405,1.4,1.4,7.1,87,0,0,3,47.9,52.1
Agawam - Benjamin J Phelps, 00050020,2.1,2.9,4.9,88.1,0,0,2.1,52.7,47.3
Agawam - Clifford M Granger, 00050010,1.4,1,9.6,85,0,0.3,2.7,50.2,49.8
Agawam - James Clark School, 00050030,3,3.3,9.4,82.4,0,0,1.8,53.2,46.8
Agawam - Roberta G. Doering School, 00050303,2.5,4.2,7,83.3,0,0,3,53.4,46.6
Agawam - Robinson Park, 00050025,2.7,2.9,8,83,0,0,3.4,51.7,48.3
Alma del Mar Charter School (District) - Alma del Mar Charter School, 04090205,14.2,0.6,47.2,31.8,0.3,0,5.9,46.3,53.7
Amesbury - Amesbury Elementary, 00070005,4.1,0.5,6.2,84.3,0.5,0,4.4,52.3,47.7
Amesbury - Amesbury High, 00070505,1.3,1.2,4.2,90.7,0,0,2.5,53.5,46.5
Amesbury - Amesbury Innovation High School, 00070515,0,0,6.5,87.1,0,0,6.5,64.5,35.5
Amesbury - Amesbury Middle, 00070013,1.2,1,6.6,86.9,0.3,0.1,3.8,51.1,48.9
Amesbury - Charles C Cashman Elementary, 00070010,2.2,2,8.7,84.1,0.4,0.2,2.4,53.5,46.5
Amherst - Crocker Farm Elementary, 00080009,7.2,15.8,25.7,42.8,0,0,8.4,50.5,49.5
Amherst - Fort River Elementary, 00080020,11.3,14,22.1,47.2,0,0,5.4,49.6,50.4
Amherst - Wildwood Elementary, 00080050,10.3,13.7,20.5,47.7,0.2,0,7.6,52.6,47.4
Amherst-Pelham - Amherst Regional High, 06050505,7,9.5,14.3,59.9,0.1,0,9.2,52.1,47.9
Amherst-Pelham - Amherst Regional Middle School, 06050405,6.9,7.9,16.7,59.7,0,0.5,8.3,47.7,52.3
Andover - Andover High, 00090505,1.9,14.5,5,76.3,0.1,0,2.2,48.9,51.1
Andover - Andover West Middle, 00090310,1.1,15.6,3.6,77.3,0,0,2.4,46.2,53.8
Andover - Bancroft Elementary, 00090003,3.2,6.6,5.9,78.4,0.3,0,5.6,51.8,48.2
Andover - Doherty Middle, 00090305,0.5,13.5,3.7,79,0.5,0,2.7,50.8,49.2
Andover - Henry C Sanborn Elementary, 00090010,1.6,28.1,4.5,63,0.8,0,2.1,54.9,45.1
Andover - High Plain Elementary, 00090004,2.7,29.1,6.6,58.3,0,0,3.3,53.6,46.4
Andover - Shawsheen School, 00090005,2.7,27.4,2.7,65.8,1.4,0,0,53.4,46.6
Andover - South Elementary, 00090020,0,18.5,4.9,75.7,0.2,0.2,0.6,50.9,49.1
Andover - West Elementary, 00090025,3,14.6,6.8,72.5,0.2,0,3,51.7,48.3
Andover - Wood Hill Middle School, 00090350,3.1,26.5,6.2,61.8,0,0,2.4,45.8,54.2
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School, 35090305,9.4,2,11.1,72.3,0.3,0.7,4.2,54.1,45.9
Arlington - Arlington High, 00100505,4.1,10.7,5.7,75.6,0,0.2,3.7,49.1,50.9
Arlington - Brackett, 00100010,1.5,10.3,4.6,77.1,0,0.2,6.3,52.1,47.9
Arlington - Cyrus E Dallin, 00100025,1.7,12.4,4.5,77.9,0,0.2,3.2,51.9,48.1
Arlington - Hardy, 00100030,4.9,15.7,7.3,68.1,0.2,0.4,3.3,54.3,45.7
Arlington - John A Bishop, 00100005,4.2,14.6,3.1,72.9,0,0.7,4.5,49.4,50.6
Arlington - M Norcross Stratton, 00100055,2.5,18.2,6.3,68.4,0,0,4.5,49.7,50.3
Arlington - Menotomy Preschool, 00100038,0,12.9,5.7,78.6,0,0,2.9,62.9,37.1
Arlington - Ottoson Middle, 00100410,4.2,10,5.5,75.3,0,0,5,47,53
Arlington - Peirce, 00100045,4,12.3,8.3,72.8,0,0,2.5,49.6,50.4
Arlington - Thompson, 00100050,5.4,16.1,10.7,62,0.6,0.2,4.9,51.9,48.1
Ashburnham-Westminster - Briggs Elementary, 06100025,0.2,0.4,5.8,92.4,0,0,1.3,52.1,47.9
Ashburnham-Westminster - Meetinghouse School, 06100010,1.3,0,4.4,93.8,0,0,0.6,54.4,45.6
Ashburnham-Westminster - Oakmont Regional High School, 06100505,0.6,1,2.3,94.4,0,0,1.7,49.9,50.1
Ashburnham-Westminster - Overlook Middle School, 06100305,0,0.9,3.3,94.6,0,0,1.2,49.1,50.9
Ashburnham-Westminster - Westminster Elementary, 06100005,1.6,0.3,7,88.4,0.3,0,2.4,52.7,47.3
Ashland - Ashland High, 00140505,2,9,9.4,77.2,0.3,0,2.2,48.8,51.2
Ashland - Ashland Middle, 00140405,2.4,12.1,11.2,71,0.3,0,2.9,48.7,51.3
Ashland - David Mindess, 00140015,2.1,13.5,9.5,70.5,1,0,3.4,50.6,49.4
Ashland - Henry E Warren Elementary, 00140010,1.8,14.1,10.7,69.1,0.6,0.2,3.6,49.8,50.2
Ashland - William Pittaway Elementary, 00140005,1.5,17.6,3.8,73.3,0,0,3.8,51.9,48.1
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School, 08010605,0.9,0.7,14.6,81.1,0.5,0,2.3,57.6,42.4
Athol-Royalston - Athol Community Elementary School, 06150020,0.7,1.2,9.9,84.7,0.2,0.2,3.1,50.3,49.7
Athol-Royalston - Athol High, 06150505,2.8,0.8,5.6,89.7,0,0,1.1,54.2,45.8
Athol-Royalston - Athol-Royalston Middle School, 06150305,1.8,0,9.3,85.3,0.3,0,3.4,52.7,47.3
Athol-Royalston - Royalston Community School, 06150050,2.1,0.7,2.8,93.8,0,0,0.7,49.3,50.7
Atlantis Charter (District) - Atlantis Charter School, 04910550,4.7,1.9,9.9,80,0.1,0,3.4,46.7,53.3
Attleboro - A. Irvin Studley Elementary School, 00160001,3.9,1.8,27.9,59.2,0.2,0.2,6.8,52.6,47.4
Attleboro - Attleboro Community Academy, 00160515,1.6,1.6,11.1,76.2,1.6,0,7.9,54,46
Attleboro - Attleboro High, 00160505,5.5,4.1,12.5,73.6,0.3,0.2,3.8,54.2,45.8
