School,id,Type,Function,Contact Name,Address,Town,State,Zip,Phone,Fax,Grade
Abby Kelley Foster Charter Public (District): Abby Kelley Foster Charter Public School,4450105,Charter School,Principal,Brian Haas,10 New Bond Street,Worcester,MA,1606,508-854-8400,508-854-8484,"K,01,02,03,04,05,06,07,08,09,10,11,12"
Abington: Abington Middle School,10405,Public School,Principal,Matthew MacCurtain,201 Gliniewicz Way,Abington,MA,2351,781-982-2170,781-982-2173,"05,06,07,08"
Abington: Woodsdale Elementary School,10015,Public School,Principal,Jonathan Hawes,120 Chestnut Street,Abington,MA,2351,781-982-2180,781-982-2184,"03,04"
Academy Of the Pacific Rim Charter Public (District): Academy Of the Pacific Rim Charter Public School,4120530,Charter School,Principal,Spencer Blasdale,1 Westinghouse Plaza,Hyde Park,MA,2136,617-361-0050,617-361-0045,"05,06,07,08,09,10,11,12"
Acton-Boxborough: Blanchard Memorial School,6000005,Public School,Principal,Dana Labb,493 Massachusetts Avenue,Boxborough,MA,1719,978-263-4569,--,"K,01,02,03,04,05,06"
Acton-Boxborough: C.T. Douglas Elementary School,6000020,Public School,Principal,Christopher Whitbeck,21 Elm Street,Acton,MA,1720,978-266-2560,--,"K,01,02,03,04,05,06"
Acton-Boxborough: Luther Conant School,6000030,Public School,Principal,Damian Sugrue,80 Taylor Road,Acton,MA,1720,978-266-2550,--,"K,01,02,03,04,05,06"
Acton-Boxborough: McCarthy-Towne School,6000015,Public School,Principal,David Krane,11 Charter Road,Acton,MA,1720,978-264-3377,--,"K,01,02,03,04,05,06"
Acton-Boxborough: Merriam School,6000010,Public School,Principal,Edward Kaufman,11 Charter Road,Acton,MA,1720,978-264-3371,--,"K,01,02,03,04,05,06"
Acton-Boxborough: Paul P Gates Elementary School,6000025,Public School,Principal,Lynne Newman,75 Spruce Street,Acton,MA,1720,978-266-2570,--,"K,01,02,03,04,05,06"
Acton-Boxborough: Raymond J Grey Junior High,6000405,Public School,Principal,Andrew Shen,16 Charter Rd,Acton,MA,1720,978-264-4700,978-264-3343,"07,08"
Acushnet: Acushnet Elementary School,30025,Public School,Principal,Susan Beck,800 Middle Road,Acushnet,MA,2743,508-998-0255,508-998-0259,"PK,K,01,02,03,04"
Acushnet: Albert F Ford Middle School,30305,Public School,Principal,Michelle Silvia,708 Middle Road,Acushnet,MA,2743,508-998-0265,508-998-7316,"05,06,07,08"
Adams-Cheshire: Hoosac Valley Elementary School,6030020,Public School,Principal,Michelle Colvin,14 Commercial Street,Adams,MA,1220,413-743-0876,413-743-8406,"PK,K,01,02,03"
Adams-Cheshire: Hoosac Valley High School,6030505,Public School,Principal,Jeremiah Ames,125 Savoy Road,Cheshire,MA,1225,413-743-5200,413-743-8420,"08,09,10,11,12"
Advanced Math and Science Academy Charter (District): Advanced Math and Science Academy Charter School,4300305,Charter School,Principal,Ellen Linzey,201 Forest Street,Marlborough,MA,1752,508-597-2400,508-597-2499,"06,07,08,09,10,11,12"
Agawam: Agawam Junior High,50405,Public School,Principal,Norman Robbins,1305 Springfield St,Feeding Hills,MA,1030,413-821-0561,413-786-4240,"07,08"
Agawam: Benjamin J Phelps,50020,Public School,Principal,Noelle Colbert,689 Main Street,Agawam,MA,1001,413-821-0587,413-786-0497,"K,01,02,03,04"
