school_id,year,total
4450105,2017,1425
10003,2017,580
10405,2017,328
10015,2017,353
4120530,2017,527
6000005,2017,413
6000020,2017,456
6000030,2017,451
6000015,2017,475
6000010,2017,517
6000025,2017,404
6000405,2017,911
30025,2017,538
30305,2017,417
6030004,2017,244
6030505,2017,622
6030020,2017,451
4300305,2017,952
50405,2017,562
50020,2017,385
50010,2017,293
50030,2017,329
50303,2017,599
50025,2017,377
4090205,2017,324
70005,2017,388
70013,2017,679
70010,2017,458
80009,2017,404
80020,2017,335
80050,2017,409
6050405,2017,432
90310,2017,532
90003,2017,593
90305,2017,561
90010,2017,381
90004,2017,515
90020,2017,493
90025,2017,636
90350,2017,419
35090305,2017,307
100010,2017,476
100025,2017,466
100030,2017,451
100005,2017,425
100055,2017,396
100410,2017,1208
100045,2017,276
100050,2017,466
6100025,2017,536
6100305,2017,570
6100005,2017,372
140405,2017,587
140015,2017,620
6150020,2017,577
6150305,2017,387
6150050,2017,144
4910550,2017,1111
160001,2017,441
160315,2017,552
160045,2017,467
160040,2017,443
160050,2017,394
160305,2017,663
160035,2017,449
160320,2017,579
170305,2017,624
170030,2017,537
180510,2017,319
180010,2017,395
6160305,2017,395
6160001,2017,389
6160002,2017,528
200505,2017,1866
200315,2017,754
200050,2017,852
200010,2017,293
200025,2017,356
200005,2017,260
200045,2017,441
4270010,2017,290
35020405,2017,392
230305,2017,556
230012,2017,566
240006,2017,578
240025,2017,395
240018,2017,501
250505,2017,739
250315,2017,711
250020,2017,335
250025,2017,342
260015,2017,363
260010,2017,373
260035,2017,641
260005,2017,468
260305,2017,1357
4200205,2017,347
4470205,2017,447
35110205,2017,257
270010,2017,537
270305,2017,392
4140305,2017,356
6180310,2017,387
6180035,2017,352
280005,2017,190
6200505,2017,584
300055,2017,525
300305,2017,1009
300010,2017,358
300015,2017,464
300033,2017,381
300040,2017,391
310030,2017,197
310007,2017,303
310026,2017,477
310012,2017,321
310310,2017,536
310305,2017,623
310015,2017,507
310005,2017,542
6220015,2017,292
6220405,2017,432
6220010,2017,283
350390,2017,585
350560,2017,2403
