school_id,year,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10
4450105,2017,4870550,440422,4440205,440420,35060505,440415,4280305,2440410,440017,4940205
10405,2017,1110505,3040020,710045,3250055,3040015,720040,2390030,6220405,7800310,720050
10015,2017,2390030,200045,1730005,2730008,6220405,2730015,410010,3040020,720050,10405
4120530,2017,4360305,4160305,4390050,4810550,4110305,4870550,490090,4280305,4440205,440001
6000005,2017,6000405,3210010,3210305,3210045,3260045,3440040,3260310,3260007,2660305,1550310
6000020,2017,3260045,260005,3440025,4470205,2710035,480007,3210305,480015,3260310,3260330
6000030,2017,6000025,1550030,1550035,3210005,1550010,1550305,2710020,1550006,3210045,3210010
6000015,2017,1990020,2070055,2130014,230305,2070025,140015,230012,1990035,140405,100055
6000010,2017,2760050,100055,2130020,3170048,3150020,230012,2760020,3150015,1590005,3300012
6000025,2017,1550030,1550035,6000030,1550305,3210010,2710020,1550006,3210045,1550010,3210005
6000405,2017,6000005,3210010,3210045,3210305,3260045,2660305,3260310,1550310,90010,4470205
30025,2017,2390015,3370005,2920020,1350005,7170020,2730005,2730305,1420305,7200305,6350305
30305,2017,2920006,270010,6650001,2390012,2310003,2920305,520015,1180005,2400010,7730025
6030505,2017,7170505,6150050,7170005,6720059,7280015,7530030,7500006,630010,7550505,1070042
6030020,2017,2090008,2090505,2090035,3090020,6030505,6150020,6720059,3100017,2630010,2230010
4300305,2017,4470205,260010,260305,2710035,2760050,3260045,6000010,480015,2710025,3260310
50405,2017,960030,1610305,1860505,7350005,2390030,6580305,6180310,6220405,250025,70013
50020,2017,50025,50030,200010,6580005,1410015,2910010,940305,50303,720030,1410505
50010,2017,2140001,1070305,7670040,7120001,2510305,1610020,1410007,3430315,7650505,860305
50030,2017,200010,50303,50025,6160002,50020,2910010,2910005,1410007,1860017,3360085
50303,2017,1860017,960020,50030,200005,6580005,3360110,2360100,3430315,6160002,720030
50025,2017,200010,50020,50030,3360085,6450025,50303,1070010,2910010,1410007,1410015
4090205,2017,2810125,970340,2810205,610015,35110205,970043,1530010,2580030,610050,1280100
70005,2017,240018,7350035,2300005,2390046,3250033,6600305,910030,300305,6800305,70013
70013,2017,740015,1620025,410010,7650505,7350005,1860505,7250010,240018,1690005,2390046
70010,2017,2180010,1070305,300305,2390405,2270505,1860017,7660315,860010,2390011,6220010
80009,2017,80020,80050,3080040,350262,1600018,2070070,2200005,3080404,1600036,1650027
80020,2017,80050,80009,730010,1760320,1760068,1650027,1530025,2200005,1600018,3480136
80050,2017,80020,3470065,1760320,80009,3080040,1760150,3080404,1760068,3480136,350346
6050405,2017,2110001,350096,2620040,4180305,2100020,2200305,2110020,3360105,1630075,2200020
90310,2017,3350015,1980005,3260004,1990410,1990405,90305,400015,3350305,560310,560305
90003,2017,1990050,1590017,1890007,2110305,1780017,1360007,670020,3170305,2110018,1990410
90305,2017,1990405,3350015,1390015,3440305,560310,560305,2760305,400015,100025,1980005
90010,2017,3210305,3440020,480007,3260045,6000010,90004,100030,6000405,6000020,400025
90004,2017,1550015,3440020,2660305,2070125,260005,2660005,2660010,3210045,2710030,2070015
90020,2017,2760305,2760020,3440305,2760050,3350015,1590005,560005,2070080,3300015,560305
90025,2017,2130020,1990050,1590025,560305,2760020,3350015,560310,1990035,230305,3300015
90350,2017,3210305,2710035,3260045,2070320,2710030,2660305,2710305,400025,2070005,6000405
35090305,2017,6450005,2010123,6450050,6450305,2120030,2390010,6740050,2010010,1140505,3470043
100010,2017,2880030,1250005,100025,3170305,510025,2690010,1390010,3350010,3350017,2110018
100025,2017,100010,3170305,2880030,1250505,2880015,1390015,3350017,1250005,2690010,780005
100030,2017,230012,2070130,260035,560025,3150020,560015,2070315,230305,6000015,2130014
100005,2017,1590005,3300015,100045,3150020,2760305,2880025,3070015,3350015,560005,1990035
100055,2017,2760050,2760020,1990020,560005,6000010,400025,230305,1590005,2070100,2070025
100410,2017,1640010,560005,560310,560305,3350015,2070025,1980035,1980005,1980305,310005
100045,2017,1990035,3150020,100005,2760020,1990020,3300015,2760050,100055,2760305,3070015
100050,2017,2070130,100030,480015,2070115,480035,2070020,1980010,560025,460025,2070100
6100025,2017,7250010,2750005,6100005,240025,2390305,1450020,7660505,740015,2730005,2520305
6100305,2017,1710015,2610025,7800035,3270005,2290007,7660505,6650305,2040005,7350030,1710020
6100005,2017,7250010,6100025,1620025,6700505,250505,7350035,2750005,70013,240018,1440015
140405,2017,6000015,2130015,140015,2740015,1990020,2620040,2070055,260305,560005,2070025
140015,2017,6000015,2130015,140405,2070305,2130014,230305,1990020,460045,2070055,1000015
6150020,2017,6150305,2090035,3090020,2090505,6740310,7780005,2090008,2230010,7670040,6030020
6150305,2017,6740310,860010,6150020,3090505,7670040,7650035,1070305,7780005,2360090,70010
6150050,2017,7170505,6030505,7170005,630010,7280015,7780305,3430050,6720059,1070042,7530030
4910550,2017,2510060,2360035,1500025,1070010,2390005,950140,2290010,3320030,2510020,200315
160001,2017,1850090,730010,1530007,2580050,2960005,2580070,2200005,1530025,640050,2580305
160315,2017,160320,2620065,2620050,2100029,160045,160050,3320010,2100005,2110020,2110001
160045,2017,2620065,160315,6160002,2620305,160320,3320010,200505,2510025,860020,3360005
160040,2017,3360105,2620067,3470055,1410030,3360085,2110020,2010140,300055,3480260,200505
160050,2017,3320010,2430040,6160002,160315,2100005,1330018,160320,2620065,2890005,6180035
160305,2017,1740505,2910305,3220005,1510015,6160001,790410,3050015,1170015,6160305,790030
160035,2017,3360085,2620050,160320,6450025,160315,200050,2010140,1000045,160040,2890005
160320,2017,160315,2620065,160045,2580070,2740083,2620050,160050,640305,1850305,2110001
170305,2017,170030,6800030,7750305,3070018,1010032,2120010,6800050,3470020,1520015,6800310
170030,2017,170305,3320040,6800030,6800050,2650007,1520505,710010,3070018,2290035,710032
180510,2017,1890020,4490305,180010,490050,2850015,2850014,4460550,2850405,2850010,1330505
180010,2017,2850405,2850010,2850025,2850015,1330505,790035,180510,1760315,1890410,490007
6160305,2017,7120315,1740505,160305,1860025,790045,1510015,960305,6180310,860305,3360050
6160001,2017,300033,300305,3250033,300040,1740305,3220005,740015,1440015,1510015,2300005
6160002,2017,960020,2290305,860020,6180035,3050015,1860017,2620065,2620305,50303,2290015
200505,2017,200315,3470405,2110020,2290015,2840030,6160002,2620305,730030,2200305,2390005
200315,2017,2290015,6450505,2930315,200505,3470405,2930010,3360310,2510305,2360035,730030
200050,2017,3360085,2290015,300055,200315,3460020,2510020,6450025,2510025,6160002,2620305
200010,2017,50030,50025,50020,2910010,3360085,1410015,200005,50303,1410007,1860017
200025,2017,3480177,2010115,3480215,3480026,3480202,950013,2010050,3480230,3480220,1600340
200005,2017,1860017,50303,960020,7120002,1610023,720030,6580005,1070020,200010,2360100
200045,2017,7350005,2390030,10015,7800010,6220405,2730015,960030,250025,410010,2290035
4270010,2017,3480136,2850020,3480235,1760140,3360080,3480225,2420020,2200005,350346,1760068
35020405,2017,2810055,2810020,2810050,4980405,2810065,2810035,2810100,2810015,2810145,2810075
230305,2017,230012,1990020,260305,100055,3300305,6000015,2070315,90025,2070005,2070025
230012,2017,230305,100030,3150020,2070315,2130014,1990020,6000015,2130020,3150015,6000010
240006,2017,6600305,6800305,6800005,990405,7660505,1690005,250315,7350035,7250010,1270505
240025,2017,2390305,2520305,1450020,7660505,1690005,6100025,7730405,2520005,770015,1180005
240018,2017,7250010,1690005,410010,70013,6600305,7350035,2140305,2390046,240006,70005
250505,2017,6700505,790020,2950023,3420020,710045,1380010,6100005,2750005,1270505,7250010
250315,2017,2650405,3010305,1710015,6250315,240006,310305,7350030,1620025,7660505,7730405
250020,2017,7730405,7150505,770305,7500505,6650305,1710015,7660505,6500310,1450020,2180015
