school_id,year,school,charter,level,town,lat,long,african_american,asian,hispanic,white,native,male,female,first_lang_not_eng_num,first_lang_not_eng_per,ELL_num,ELL_per,disabilities_num,disabilities_per,low_inc_num,low_inc_per,total
4450105,2017,Abby Kelley Foster Charter Public School,1,High,Worcester,42.3056491,-71.8016973,48.5,4,22,22.9,0.1,47.3,52.7,868,60.9,102,7.2,147,10.3,530,37.2,1425
10405,2017,Abington Middle School,0,Middle,Abington,42.1185951,-70.9527295,2.4,1.8,6.1,89.3,0,53.4,46.6,18,5.5,6,1.8,43,13.1,71,21.6,328
10015,2017,Woodsdale Elementary School,0,Primary,Abington,42.1298139,-70.9721425,2,1.4,4.2,92.1,0,50.7,49.3,21,5.9,7,2,38,10.8,80,22.7,353
4120530,2017,Academy Of the Pacific Rim Charter Public School,1,High,Hyde Park,42.244227,-71.1320302,58.1,0.9,27.3,10.4,0,47.4,52.6,130,24.7,62,11.8,128,24.3,202,38.3,527
6000005,2017,Blanchard Memorial School,0,Primary,Boxborough,42.4820146,-71.5058104,1.7,33.2,3.1,58.6,0.5,51.8,48.2,39,9.4,13,3.1,84,20.3,24,5.8,413
6000020,2017,C.T. Douglas Elementary School,0,Primary,Acton,42.4816957,-71.4716724,0.2,24.3,3.3,65.8,0.2,52,48,99,21.7,32,7,75,16.4,21,4.6,456
6000030,2017,Luther Conant School,0,Primary,Acton,42.475239,-71.4363371,2.9,60.8,4.2,29.5,0,50.1,49.9,118,26.2,60,13.3,72,16,32,7.1,451
6000015,2017,McCarthy-Towne School,0,Primary,Acton,42.4751266,-71.4605239,3.4,11.4,9.1,70.1,0.6,51.2,48.8,85,17.9,35,7.4,70,14.7,42,8.8,475
6000010,2017,Merriam School,0,Primary,Acton,42.4751266,-71.4605239,2.5,20.5,5.4,68.1,0,53.8,46.2,64,12.4,26,5,80,15.5,34,6.6,517
6000025,2017,Paul P Gates Elementary School,0,Primary,Acton,42.4808923,-71.4732376,1.7,51,3.5,39.9,1,52.5,47.5,80,19.8,40,9.9,67,16.6,40,9.9,404
6000405,2017,Raymond J Grey Junior High,0,Middle,Acton,42.4764217,-71.4580038,2,31.8,3.7,56.8,0.1,52.3,47.7,151,16.6,17,1.9,141,15.5,47,5.2,911
30025,2017,Acushnet Elementary School,0,Primary,Acushnet,41.7251898,-70.9050764,0.7,0.2,3.3,92.8,0.2,53.2,46.8,3,0.6,2,0.4,77,14.3,136,25.3,538
30305,2017,Albert F Ford Middle School,0,Middle,Acushnet,41.72323,-70.9051055,0.7,0.2,1,97.4,0,50.8,49.2,4,1,2,0.5,57,13.7,82,19.7,417
6030505,2017,Hoosac Valley High School,0,High,Cheshire,42.5939463,-73.1156593,5.1,1.3,1.4,91.8,0.2,50,50,5,0.8,5,0.8,139,22.3,244,39.2,622
