id,year,african_american,asian,hispanic,white,native,male,female
4450105,2017,48.5,4,22,22.9,0.1,47.3,52.7
10003,2017,1.9,1.9,6.7,88.4,0.5,50.2,49.8
10405,2017,2.4,1.8,6.1,89.3,0,53.4,46.6
10015,2017,2,1.4,4.2,92.1,0,50.7,49.3
4120530,2017,58.1,0.9,27.3,10.4,0,47.4,52.6
6000005,2017,1.7,33.2,3.1,58.6,0.5,51.8,48.2
6000020,2017,0.2,24.3,3.3,65.8,0.2,52,48
6000030,2017,2.9,60.8,4.2,29.5,0,50.1,49.9
6000015,2017,3.4,11.4,9.1,70.1,0.6,51.2,48.8
6000010,2017,2.5,20.5,5.4,68.1,0,53.8,46.2
6000025,2017,1.7,51,3.5,39.9,1,52.5,47.5
6000405,2017,2,31.8,3.7,56.8,0.1,52.3,47.7
30025,2017,0.7,0.2,3.3,92.8,0.2,53.2,46.8
30305,2017,0.7,0.2,1,97.4,0,50.8,49.2
6030004,2017,4.1,0.4,1.2,93.4,0,47.1,52.9
6030505,2017,5.1,1.3,1.4,91.8,0.2,50,50
6030020,2017,4,0.2,2.2,89.8,0.2,52.3,47.7
4300305,2017,2.4,19.2,5.8,66.9,0.3,51.7,48.3
50405,2017,1.4,1.4,7.1,87,0,47.9,52.1
50020,2017,2.1,2.9,4.9,88.1,0,52.7,47.3
50010,2017,1.4,1,9.6,85,0,50.2,49.8
50030,2017,3,3.3,9.4,82.4,0,53.2,46.8
50303,2017,2.5,4.2,7,83.3,0,53.4,46.6
50025,2017,2.7,2.9,8,83,0,51.7,48.3
4090205,2017,14.2,0.6,47.2,31.8,0.3,46.3,53.7
70005,2017,4.1,0.5,6.2,84.3,0.5,52.3,47.7
70013,2017,1.2,1,6.6,86.9,0.3,51.1,48.9
70010,2017,2.2,2,8.7,84.1,0.4,53.5,46.5
80009,2017,7.2,15.8,25.7,42.8,0,50.5,49.5
80020,2017,11.3,14,22.1,47.2,0,49.6,50.4
80050,2017,10.3,13.7,20.5,47.7,0.2,52.6,47.4
6050405,2017,6.9,7.9,16.7,59.7,0,47.7,52.3
90310,2017,1.1,15.6,3.6,77.3,0,46.2,53.8
90003,2017,3.2,6.6,5.9,78.4,0.3,51.8,48.2
90305,2017,0.5,13.5,3.7,79,0.5,50.8,49.2
90010,2017,1.6,28.1,4.5,63,0.8,54.9,45.1
90004,2017,2.7,29.1,6.6,58.3,0,53.6,46.4
90020,2017,0,18.5,4.9,75.7,0.2,50.9,49.1
90025,2017,3,14.6,6.8,72.5,0.2,51.7,48.3
90350,2017,3.1,26.5,6.2,61.8,0,45.8,54.2
35090305,2017,9.4,2,11.1,72.3,0.3,54.1,45.9
100010,2017,1.5,10.3,4.6,77.1,0,52.1,47.9
100025,2017,1.7,12.4,4.5,77.9,0,51.9,48.1
100030,2017,4.9,15.7,7.3,68.1,0.2,54.3,45.7
100005,2017,4.2,14.6,3.1,72.9,0,49.4,50.6
100055,2017,2.5,18.2,6.3,68.4,0,49.7,50.3
100410,2017,4.2,10,5.5,75.3,0,47,53
100045,2017,4,12.3,8.3,72.8,0,49.6,50.4
100050,2017,5.4,16.1,10.7,62,0.6,51.9,48.1
