school_id,year,first_lang_not_eng_num,first_lang_not_eng_per,ELL_num,ELL_per,disabilities_num,disabilities_per,low_inc_num,low_inc_per
4450105,2017,868,60.9,102,7.2,147,10.3,530,37.2
10505,2017,24,5.3,11,2.4,44,9.7,97,21.5
10003,2017,61,10.5,42,7.2,77,13.3,135,23.3
10002,2017,26,12.8,6,3,43,21.2,33,16.3
10405,2017,18,5.5,6,1.8,43,13.1,71,21.6
10015,2017,21,5.9,7,2,38,10.8,80,22.7
4120530,2017,130,24.7,62,11.8,128,24.3,202,38.3
6000505,2017,269,14.4,17,0.9,217,11.6,91,4.9
6000005,2017,39,9.4,13,3.1,84,20.3,24,5.8
6000020,2017,99,21.7,32,7,75,16.4,21,4.6
6000001,2017,5,5.2,0,0,36,37.1,8,8.2
6000030,2017,118,26.2,60,13.3,72,16,32,7.1
6000015,2017,85,17.9,35,7.4,70,14.7,42,8.8
6000010,2017,64,12.4,26,5,80,15.5,34,6.6
6000025,2017,80,19.8,40,9.9,67,16.6,40,9.9
6000405,2017,151,16.6,17,1.9,141,15.5,47,5.2
30025,2017,3,0.6,2,0.4,77,14.3,136,25.3
30305,2017,4,1,2,0.5,57,13.7,82,19.7
6030004,2017,1,0.4,1,0.4,54,22.1,81,33.2
6030505,2017,5,0.8,5,0.8,139,22.3,244,39.2
6030020,2017,1,0.2,1,0.2,108,23.9,267,59.2
4300305,2017,170,17.9,12,1.3,46,4.8,58,6.1
50003,2017,2,1.3,0,0,62,41.1,45,29.8
50505,2017,56,4.6,16,1.3,172,14.1,277,22.7
50405,2017,35,6.2,6,1.1,84,14.9,131,23.3
50020,2017,60,15.6,51,13.2,50,13,103,26.8
50010,2017,26,8.9,21,7.2,56,19.1,96,32.8
50030,2017,45,13.7,39,11.9,58,17.6,95,28.9
50303,2017,59,9.8,28,4.7,91,15.2,180,30.1
50025,2017,58,15.4,54,14.3,49,13,132,35
4090205,2017,38,11.7,38,11.7,53,16.4,174,53.7
70005,2017,0,0,0,0,79,20.4,92,23.7
70505,2017,17,2.9,3,0.5,101,17,87,14.6
70515,2017,0,0,0,0,16,51.6,23,74.2
70013,2017,21,3.1,11,1.6,120,17.7,152,22.4
70010,2017,22,4.8,18,3.9,110,24,128,27.9
80009,2017,110,27.2,76,18.8,88,21.8,108,26.7
80020,2017,83,24.8,52,15.5,72,21.5,128,38.2
80050,2017,113,27.6,65,15.9,63,15.4,129,31.5
6050505,2017,163,17.6,39,4.2,165,17.8,203,21.9
6050405,2017,65,15,18,4.2,85,19.7,92,21.3
90505,2017,172,9.5,14,0.8,290,16.1,113,6.3
90310,2017,43,8.1,6,1.1,89,16.7,40,7.5
90003,2017,48,8.1,25,4.2,98,16.5,40,6.7
90305,2017,52,9.3,5,0.9,112,20,26,4.6
90010,2017,61,16,38,10,54,14.2,30,7.9
90004,2017,134,26,68,13.2,72,14,23,4.5
90005,2017,7,9.6,0,0,36,49.3,8,11
90020,2017,70,14.2,34,6.9,77,15.6,16,3.2
90025,2017,76,11.9,32,5,133,20.9,52,8.2
90350,2017,79,18.9,6,1.4,79,18.9,28,6.7
35090305,2017,54,17.6,46,15,71,23.1,152,49.5
100505,2017,160,12.4,12,0.9,143,11.1,133,10.3
100010,2017,28,5.9,13,2.7,56,11.8,18,3.8
100025,2017,15,3.2,11,2.4,66,14.2,23,4.9
100030,2017,72,16,57,12.6,58,12.9,37,8.2
100005,2017,38,8.9,21,4.9,39,9.2,26,6.1
100055,2017,46,11.6,31,7.8,56,14.1,36,9.1
100038,2017,8,11.4,0,0,37,52.9,6,8.6
100410,2017,156,12.9,27,2.2,182,15.1,119,9.9
100045,2017,30,10.9,26,9.4,32,11.6,12,4.3
100050,2017,81,17.4,58,12.4,42,9,70,15
6100025,2017,19,3.5,15,2.8,100,18.7,101,18.8
6100010,2017,9,5.6,9,5.6,17,10.6,21,13.1
6100505,2017,8,1.1,6,0.9,111,15.8,99,14.1
6100305,2017,20,3.5,8,1.4,101,17.7,86,15.1
6100005,2017,15,4,13,3.5,72,19.4,67,18
140505,2017,84,11.3,13,1.7,98,13.2,77,10.3
140405,2017,114,19.4,14,2.4,85,14.5,87,14.8
140015,2017,161,26,38,6.1,106,17.1,77,12.4
140010,2017,97,15.7,41,6.6,78,12.6,72,11.6
140005,2017,20,15.3,0,0,27,20.6,15,11.5
8010605,2017,170,15.4,31,2.8,322,29.2,248,22.5
6150020,2017,23,4,20,3.5,154,26.7,327,56.7
6150505,2017,4,1.1,3,0.8,96,26.8,162,45.3
6150305,2017,16,4.1,11,2.8,103,26.6,172,44.4
