school_id,year,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10
10405,2002,6800305,7200505,7400405,10505,2520510,1510505,1870020,170505,1110505,1870505
30305,2002,6220405,1110505,1510015,1910310,7200305,7200505,1870020,2140505,7500505,7400405
50405,2002,2090505,6700505,940505,170305,1440505,2260505,360505,170505,6180505,7250505
70013,2002,2270505,360325,2360505,940505,6600305,70505,7780505,1070305,6150505,2390515
90305,2002,2130305,560305,1590017,1640405,1750305,1980310,2110505,2760305,480303,400305
90310,2002,400305,6000405,90305,2130305,560305,1980305,2660305,2710305,2070315,230305
100410,2002,1990405,2200505,1980505,2510505,400305,2110305,1590505,990405,2660505,1030505
140405,2002,140505,1390505,1390305,1590017,1970505,1970010,8210605,1980305,90310,4350305
160305,2002,1740305,1280035,1030505,2140505,50405,360505,6250315,2090505,1330505,6180505
160315,2002,160320,2100410,950315,1000310,6050405,610505,2200305,6450305,2070315,1810055
160320,2002,2200305,160315,2070315,1280085,1980305,90310,6050405,2710305,1550310,2070310
170305,2002,360505,170505,7450405,6700505,1870020,6180505,1440505,1110505,870305,6350505
180510,2002,1890410,1330505,1890505,6740310,4700105,160305,1280085,6740505,7650505,6720505
230305,2002,400305,560305,2760305,230505,400310,2460310,90310,2130305,2660305,1100505
250505,2002,2120505,6900505,1310505,2460505,1010505,2610025,7100510,2620505,6800505,7300505
260305,2002,2070315,1550310,6000405,1550305,2710305,2070510,260505,2070310,1850505,1550505
270305,2002,1570305,4640305,1580305,2490005,4320530,8520605,1580505,4780505,1010405,7250310
300305,2002,6580305,2190505,880405,6730505,2190405,6550405,310310,1770305,820505,7050405
310305,2002,7350035,1710310,2390515,7600405,6600505,1860505,7450505,1220305,990405,710305
310310,2002,1050505,880405,1360505,1750305,300305,820505,1750505,6580305,7250025,7450505
350004,2002,440410,490090,490040,440420,4870550,2480520,2010510,490007,2440410,4860105
350074,2002,350525,350485,350229,350430,350308,350690,2740075,350445,350542,350505
350080,2002,1490015,350691,4540205,1370605,350308,350229,2740087,1490018,2740111,490006
350229,2002,350308,350691,350445,2740111,490006,350485,2740087,350430,350074,2810320
350262,2002,1600340,1600345,2740075,2010415,1530045,1630420,1000305,1600330,490040,1370505
350308,2002,350229,350691,490006,350485,350445,2740111,2740087,350074,350430,2810320
350380,2002,490090,4440205,4690505,350540,4120530,350542,350546,350543,2810030,4810550
350430,2002,2740075,350485,350445,1630305,350229,350074,350262,490030,350690,1600345
350445,2002,350505,350530,1630305,350229,2740111,2740075,350430,2740087,350535,2810320
350485,2002,350690,350430,350505,2810320,2740075,350074,350229,350445,350308,2810030
350545,2002,1630505,350560,2810500,970505,1650505,1650013,1630405,490506,1630510,8280605
350560,2002,350545,1630505,950505,970505,1650505,460505,2010505,8280605,1650003,1650013
350565,2002,490030,490045,350430,2740075,350690,490065,1600315,460030,2430305,1650013
350575,2002,1630505,350690,350545,490030,350505,350515,1630510,2810510,1650505,1630405
350691,2002,350308,490006,350229,2740087,2740111,4400205,1370605,350080,350445,1490018
360325,2002,2360505,70013,940505,2090505,2270505,2140305,6150505,2180305,360505,990405
400305,2002,230505,1990405,2130305,1980305,230305,90310,400310,100410,2760305,560305
400310,2002,2760305,1100505,2460310,6200505,6800310,1640405,1590305,1980310,880505,310310
440410,2002,440420,4870550,490065,490040,490090,2010405,2440410,4860105,950320,4410505
440420,2002,440410,4870550,490040,2010405,2740120,4410505,2440410,490065,950320,4860105
460005,2002,460015,2070320,460020,460045,460035,1550305,460025,460040,2070305,260305
460015,2002,460005,460045,2070320,460035,1760505,460020,460040,2070305,1760068,6050405
460020,2002,460045,2070320,460035,2070305,460025,460005,460015,1550305,2070310,460040
460025,2002,460040,460020,460035,460045,460005,2070305,2070320,2430305,1550305,490050
460030,2002,460040,460005,460025,1650003,460015,2430305,460035,2070320,460045,490050
460035,2002,460045,460040,460015,460020,2070305,2070320,1630420,460025,460005,1760315
460040,2002,460035,460025,460015,460045,460020,460005,490050,2070320,1650003,2430315
460045,2002,460020,460035,460015,2070320,2070305,6050405,1760315,2070310,460040,460005
480303,2002,2130305,90305,4460550,560305,480505,880505,1670505,230505,6500505,880405
490005,2002,490050,490035,2440410,490040,490007,4870550,460035,2440505,490065,490045
490006,2002,350691,4400205,2740087,350229,350308,2740111,1370605,350262,1490018,350445
490007,2002,490035,490005,4870550,2440410,490050,180510,490040,6050405,460035,460045
490030,2002,350690,490045,490065,350540,2740075,490090,490040,350542,350565,350430
490035,2002,490005,490007,490050,2440410,2440505,460020,180510,460035,490040,460045
490040,2002,4870550,490005,440420,490065,2440410,440410,2740120,490045,490007,490035
490045,2002,490065,490040,490005,490030,1650013,490050,2440410,1650003,440410,2430325
490050,2002,490005,490035,460040,460035,490007,2440410,2440505,460045,460020,460025
490065,2002,490040,490045,440410,2440410,490005,490090,440420,4870550,350546,2440505
490090,2002,350540,350380,350546,440410,490065,4690505,490040,440420,2810030,4120530
500305,2002,990505,2650505,670305,2170305,4460550,1640505,1780505,1620505,10505,710505
510025,2002,560305,7300505,4460550,860505,2620505,6550505,1310410,1310505,2110505,1750505
560305,2002,90305,1590505,2130305,510025,790505,7250505,7300505,7150505,870505,2620505
610021,2002,4060705,1760605,8180605,8510605,8730605,8600605,8150605,8550605,8060605,4500105
610305,2002,1280100,640305,2010410,4910550,1810055,2580505,2360305,2580305,7350030,1280050
630010,2002,7500505,6350305,4830305,1420305,1910310,940305,6980020,4640305,30305,7200305
640305,2002,1280050,610505,1810055,1810060,1280100,640505,1530045,1000310,160315,1850505
