school_id,year,african_american,asian,hispanic,white,native,male,female
4450105,2001,8.7,2.8,8.9,79.5,0.1,51.4,48.6
10003,2001,0.7,1.5,1.2,96.5,0.2,52.2,47.8
10505,2001,1.6,0.9,1.3,96.2,0.0,46.2,53.8
10405,2001,1.7,0.0,1.4,96.9,0.0,46.4,53.6
10015,2001,1.5,0.3,0.8,97.4,0.0,54.2,45.8
4120530,2001,65.2,6.2,6.6,22.1,0.0,54.5,45.5
6000505,2001,0.9,10.0,1.6,87.2,0.3,47.7,52.3
6000405,2001,0.8,10.4,1.8,86.9,0.1,53.3,46.7
30025,2001,1.0,0.3,0.7,97.7,0.3,52.5,47.5
30305,2001,0.2,0.2,1.2,97.8,0.5,51.0,49.0
6030004,2001,1.2,0.9,1.8,95.5,0.6,53.9,46.1
6030505,2001,0.7,0.6,0.2,98.5,0.0,45.3,54.7
6030020,2001,3.1,0.3,1.5,95.0,0.0,50.5,49.5
50003,2001,0.7,0.0,0.7,98.6,0.0,48.2,51.8
50505,2001,0.9,1.7,1.5,95.2,0.7,51.9,48.1
50405,2001,1.2,1.8,2.8,93.9,0.3,48.7,51.3
50303,2001,1.0,1.9,1.7,95.3,0.1,53.6,46.4
50020,2001,2.0,1.5,1.0,95.6,0.0,48.3,51.7
50010,2001,1.3,0.0,2.8,95.8,0.0,50.5,49.5
50030,2001,0.2,1.5,1.0,97.3,0.0,49.9,50.1
50025,2001,1.2,2.6,1.2,95.1,0.0,53.2,46.8
70005,2001,2.8,0.9,1.7,94.6,0.0,51.4,48.6
70505,2001,0.7,0.6,1.4,97.1,0.1,49.5,50.5
70013,2001,0.9,0.9,1.2,96.2,0.8,49.3,50.7
70010,2001,0.9,0.7,1.3,96.7,0.4,57.8,42.2
80009,2001,7.6,5.0,22.1,64.7,0.7,50.5,49.5
80020,2001,11.3,15.4,9.6,63.3,0.4,49.6,50.4
80050,2001,15.2,14.0,8.5,61.4,0.8,45.9,54.1
6050505,2001,10.5,8.6,7.3,73.0,0.6,52.8,47.2
6050405,2001,8.3,8.3,7.1,75.5,0.8,50.4,49.6
90505,2001,1.2,8.0,2.4,88.3,0.2,49.3,50.7
90310,2001,0.8,7.4,3.4,88.4,0.0,52.0,48.0
90003,2001,0.2,7.0,3.0,88.8,1.1,54.3,45.7
90305,2001,0.8,6.1,1.4,91.8,0.0,53.7,46.3
90010,2001,0.4,6.8,0.2,92.6,0.0,49.5,50.5
90004,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90005,2001,0.0,4.5,0.7,94.8,0.0,50.7,49.3
90020,2001,0.5,3.9,0.0,95.6,0.0,54.0,46.0
90025,2001,1.6,8.9,5.8,83.7,0.0,52.4,47.6
90350,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100505,2001,6.1,4.5,3.0,86.4,0.0,45.8,54.2
100010,2001,0.6,5.6,1.2,92.6,0.0,48.5,51.5
100025,2001,4.2,5.8,1.9,87.8,0.3,45.6,54.4
100030,2001,6.7,13.3,3.7,76.3,0.0,50.4,49.6
100005,2001,2.0,5.9,1.1,91.0,0.0,49.9,50.1
100055,2001,1.5,9.1,1.8,87.6,0.0,49.5,50.5
100038,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100410,2001,5.0,4.1,1.4,89.4,0.1,52.1,47.9
100045,2001,9.6,2.3,5.0,83.1,0.0,50.7,49.3
100050,2001,7.1,11.8,5.3,75.5,0.3,54.2,45.8
6100025,2001,0.4,0.2,0.8,98.6,0.0,52.3,47.7
6100010,2001,1.4,1.7,1.7,95.2,0.0,49.7,50.3
6100505,2001,0.1,0.8,0.7,98.2,0.1,49.1,50.9
6100305,2001,0.6,1.4,1.4,96.5,0.0,56.7,43.3
6100005,2001,1.3,2.6,1.3,94.4,0.3,57.4,42.6
140505,2001,2.7,4.2,4.0,89.1,0.0,47.1,52.9
140405,2001,2.6,3.1,3.4,90.9,0.0,57.1,42.9
140015,2001,2.5,2.2,2.2,93.1,0.0,50.8,49.2
140010,2001,2.4,4.4,2.8,90.0,0.5,49.8,50.2
140005,2001,5.3,6.5,4.4,83.9,0.0,55.4,44.6
8010605,2001,2.2,0.8,6.8,89.7,0.5,63.6,36.4
6150505,2001,0.8,0.5,3.4,95.3,0.0,50.2,49.8
6150305,2001,1.2,0.8,3.7,93.9,0.3,54.9,45.1
6150020,2001,3.2,1.1,3.2,92.0,0.5,59.4,40.6
6150050,2001,0.0,0.0,2.4,97.6,0.0,49.6,50.4
4910550,2001,5.9,1.9,3.9,87.6,0.6,51.7,48.3
160001,2001,4.8,3.3,11.7,79.9,0.3,49.4,50.6
160505,2001,3.0,6.7,3.6,86.6,0.1,47.7,52.3
160315,2001,3.5,6.3,8.1,81.7,0.4,50.0,50.0
160008,2001,2.5,4.6,6.7,84.7,1.5,55.3,44.7
160045,2001,3.0,3.0,4.4,89.7,0.0,49.5,50.5
160040,2001,3.7,7.1,4.6,84.3,0.2,50.2,49.8
160050,2001,3.2,11.0,3.9,81.5,0.4,53.0,47.0
160305,2001,3.1,2.5,2.8,91.4,0.2,50.4,49.6
160035,2001,3.6,3.8,5.7,85.7,1.2,50.8,49.2
160320,2001,3.2,7.0,4.4,85.4,0.0,51.5,48.5
170305,2001,1.2,1.8,1.5,95.5,0.0,49.3,50.7
170505,2001,1.2,0.9,1.2,96.3,0.3,48.4,51.6
170010,2001,0.7,1.4,2.1,95.1,0.7,54.4,45.6
170025,2001,1.4,1.8,1.1,95.7,0.0,47.7,52.3
180510,2001,22.1,3.1,1.5,72.6,0.7,47.8,52.2
180010,2001,7.4,2.1,2.1,88.1,0.4,49.5,50.5
200505,2001,5.5,1.6,8.1,84.4,0.4,50.8,49.2
200010,2001,3.8,1.5,4.1,90.4,0.3,49.1,50.9
200025,2001,13.1,3.5,7.8,72.8,2.8,54.4,45.6
200005,2001,2.1,1.1,1.1,95.8,0.0,50.9,49.1
230505,2001,6.5,4.7,3.2,85.2,0.4,52.8,47.2
230305,2001,3.0,8.7,2.4,85.7,0.2,50.3,49.7
230010,2001,4.5,9.5,2.2,82.8,1.0,45.2,54.8
230012,2001,3.5,9.1,2.4,84.1,1.0,53.1,46.9
240505,2001,0.3,0.7,2.0,96.7,0.3,50.2,49.8
240005,2001,1.1,1.8,2.3,94.5,0.4,50.4,49.6
240018,2001,0.9,0.9,1.9,96.3,0.0,50.4,49.6
250003,2001,4.5,0.0,4.5,90.9,0.0,72.7,27.3
250505,2001,1.0,2.0,1.2,95.3,0.5,49.5,50.5
250315,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250510,2001,1.9,3.8,1.9,92.5,0.0,81.1,18.9
250020,2001,1.1,0.4,0.5,98.0,0.0,50.0,50.0
250025,2001,1.4,2.2,1.0,95.5,0.0,52.9,47.1
260505,2001,4.2,10.3,2.1,83.2,0.2,49.1,50.9
260015,2001,3.6,15.2,4.0,77.2,0.0,52.8,47.2
260010,2001,3.3,10.6,2.6,83.5,0.0,50.9,49.1
260035,2001,2.7,8.0,2.7,85.6,1.1,54.2,45.8
260005,2001,2.5,7.6,1.8,87.8,0.2,55.5,44.5
260305,2001,4.3,10.8,2.8,81.8,0.3,52.1,47.9
4200205,2001,91.3,0.0,5.8,1.7,1.2,44.3,55.7
4470205,2001,1.3,1.3,0.5,96.8,0.0,49.2,50.8
270010,2001,0.8,0.0,0.4,98.8,0.0,52.4,47.6
270305,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6180505,2001,1.8,0.9,2.3,95.0,0.0,51.0,49.0
280005,2001,0.0,1.2,0.8,97.9,0.0,50.6,49.4
6200505,2001,0.9,2.1,0.5,96.0,0.5,51.5,48.5
300055,2001,2.7,1.1,3.8,92.3,0.0,50.2,49.8
300505,2001,1.2,0.5,1.8,96.5,0.0,48.1,51.9
300305,2001,1.7,0.2,2.2,96.0,0.0,51.8,48.2
300010,2001,4.0,1.3,3.0,91.6,0.0,57.7,42.3
300015,2001,1.4,1.4,3.0,94.1,0.3,50.0,50.0
300033,2001,3.6,1.9,6.9,87.3,0.3,52.8,47.2
300040,2001,1.3,1.8,1.8,95.1,0.0,48.9,51.1
310505,2001,0.9,3.3,1.9,93.6,0.4,49.2,50.8
310030,2001,0.6,1.5,1.2,95.8,0.9,53.3,46.7
310007,2001,0.0,1.5,0.8,97.5,0.2,49.3,50.7
310026,2001,0.0,1.5,0.5,98.0,0.0,53.8,46.2
310012,2001,0.4,1.0,1.6,96.7,0.4,52.8,47.2
310310,2001,0.6,1.3,1.9,95.8,0.4,51.7,48.3
310305,2001,0.0,2.9,0.6,96.0,0.4,51.4,48.6
310015,2001,0.7,4.3,2.6,91.3,1.1,51.5,48.5
310005,2001,0.3,1.7,3.1,94.2,0.7,52.5,47.5
8050605,2001,0.8,0.6,1.6,95.9,1.1,64.6,35.4
6220015,2001,0.9,1.2,0.5,97.4,0.0,50.2,49.8
6220505,2001,0.9,0.9,1.0,97.2,0.0,47.8,52.2
6220405,2001,1.1,1.1,2.2,95.3,0.3,51.2,48.8
6220008,2001,2.0,1.8,0.8,95.4,0.0,52.3,47.7
6220010,2001,0.7,0.0,1.1,98.3,0.0,52.5,47.5
8060605,2001,9.1,0.7,3.8,86.3,0.0,62.2,37.8
350541,2001,46.7,12.0,6.5,34.8,0.0,32.6,67.4
350021,2001,49.3,4.2,16.8,28.0,1.7,54.5,45.5
350390,2001,25.6,0.5,70.8,2.7,0.4,56.1,43.9
350010,2001,53.5,1.5,43.4,1.0,0.5,50.5,49.5
350548,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350546,2001,44.5,2.9,23.0,29.1,0.5,41.1,58.9
350558,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350507,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350560,2001,13.7,28.5,6.2,51.5,0.1,42.5,57.5
350545,2001,25.5,21.8,10.8,41.6,0.4,41.5,58.5
350505,2001,52.0,6.8,33.0,8.0,0.3,48.0,52.0
350036,2001,52.2,4.3,39.1,4.3,0.0,52.2,47.8
350054,2001,92.4,1.5,3.9,2.1,0.2,51.1,48.9
350052,2001,30.9,1.3,54.9,12.7,0.2,54.7,45.3
350515,2001,39.2,22.5,29.0,9.1,0.2,57.3,42.7
350430,2001,31.6,16.2,30.4,21.1,0.8,54.3,45.7
350518,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350062,2001,9.4,13.6,46.0,30.5,0.5,52.6,47.4
350066,2001,18.7,8.2,50.0,23.1,0.0,51.5,48.5
350072,2001,49.7,0.3,49.5,0.5,0.0,47.9,52.1
350074,2001,71.9,0.4,25.1,1.9,0.6,53.3,46.7
350077,2001,79.1,2.3,13.6,4.6,0.3,54.3,45.7
350080,2001,5.6,0.4,85.8,8.0,0.1,51.3,48.7
350009,2001,15.4,4.3,63.0,17.3,0.0,49.0,51.0
350530,2001,26.1,3.5,46.6,23.2,0.7,54.7,45.3
350088,2001,45.9,19.7,9.1,24.7,0.6,51.3,48.8
350543,2001,66.7,1.6,25.4,4.8,1.6,41.3,58.7
350003,2001,20.2,36.9,21.4,21.4,0.0,50.0,50.0
350006,2001,41.5,2.8,37.7,17.0,0.9,60.4,39.6
350096,2001,37.2,2.7,36.7,22.9,0.5,55.9,44.1
350100,2001,58.5,0.4,38.9,2.1,0.0,57.3,42.7
350522,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350540,2001,51.3,3.0,23.4,21.6,0.7,42.4,57.6
350116,2001,60.3,2.7,12.5,24.4,0.0,53.6,46.4
350122,2001,47.9,2.7,23.3,26.0,0.0,62.6,37.4
350426,2001,75.2,2.6,10.5,10.9,0.8,44.4,55.6
350200,2001,19.8,31.6,27.4,20.9,0.2,53.2,46.8
350135,2001,60.6,2.8,16.9,19.4,0.4,52.1,47.9
350750,2001,41.2,8.4,27.5,22.9,0.0,51.9,48.1
350141,2001,4.7,11.7,53.9,29.7,0.0,44.9,55.1
350013,2001,46.9,13.0,19.5,20.6,0.0,52.9,47.1
350146,2001,43.9,15.5,11.7,28.2,0.7,55.3,44.7
350154,2001,87.8,1.2,5.3,3.9,1.8,56.4,43.6
350156,2001,5.4,3.1,64.0,27.5,0.0,50.9,49.1
350485,2001,55.3,4.4,35.9,4.1,0.3,47.4,52.6
350153,2001,30.5,3.7,46.7,18.9,0.2,49.9,50.1
350525,2001,84.8,3.2,9.6,1.7,0.6,53.6,46.4
350172,2001,57.1,2.9,24.3,15.0,0.7,55.0,45.0
350166,2001,26.3,1.1,71.1,1.5,0.0,50.9,49.1
350167,2001,52.8,18.8,27.0,0.9,0.6,54.0,46.0
350179,2001,41.2,11.0,36.4,10.3,1.1,49.7,50.3
350180,2001,63.9,0.9,31.5,3.7,0.0,50.2,49.8
350182,2001,30.3,0.9,66.7,1.8,0.3,48.5,51.5
350183,2001,82.6,2.6,10.7,3.8,0.3,56.1,43.9
350184,2001,50.0,5.2,14.4,30.5,0.0,54.0,46.0
350181,2001,52.1,6.1,13.6,27.4,0.9,52.3,47.7
350286,2001,17.1,65.9,6.6,10.2,0.2,50.4,49.6
350190,2001,29.5,8.3,13.2,47.6,1.4,52.4,47.6
350262,2001,16.6,3.4,36.8,43.3,0.0,51.6,48.4
350537,2001,60.4,1.4,31.3,6.3,0.5,51.7,48.3
350215,2001,10.5,8.2,32.3,48.3,0.7,50.7,49.3
350004,2001,35.8,4.9,15.4,43.9,0.0,67.5,32.5
350227,2001,56.6,30.2,8.4,4.5,0.4,51.5,48.5
350226,2001,66.9,0.5,28.7,3.5,0.4,53.3,46.7
350008,2001,66.0,7.6,22.8,3.6,0.0,48.2,51.8
350229,2001,31.8,0.8,66.0,1.4,0.0,49.0,51.0
350231,2001,43.0,13.2,14.0,28.9,0.9,46.0,54.0
350382,2001,55.2,5.5,15.3,23.9,0.0,50.9,49.1
350237,2001,50.0,2.7,14.1,33.2,0.0,56.0,44.0
350243,2001,81.7,1.7,15.4,0.6,0.6,53.7,46.3
350383,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350542,2001,70.1,7.4,18.1,4.4,0.0,44.6,55.4
350138,2001,81.5,0.9,12.8,4.0,0.9,55.5,44.5
350575,2001,47.4,28.3,14.5,9.5,0.2,44.0,56.0
350255,2001,34.5,12.0,15.5,37.0,1.0,51.0,49.0
350257,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350264,2001,11.5,4.5,42.6,40.2,1.2,47.5,52.5
350266,2001,55.8,9.3,5.1,27.0,2.8,57.2,42.8
350268,2001,39.1,8.6,39.3,12.8,0.2,58.0,42.0
350278,2001,62.5,2.3,17.4,16.8,1.0,49.3,50.7
350565,2001,28.6,57.6,6.5,7.2,0.0,51.8,48.2
350691,2001,15.1,0.8,71.2,13.0,0.0,51.3,48.7
350240,2001,50.4,20.0,5.6,23.7,0.3,53.4,46.6
350298,2001,55.2,11.7,13.0,19.5,0.6,52.6,47.4
350302,2001,18.5,5.0,40.9,35.5,0.0,52.9,47.1
350304,2001,58.4,1.4,28.2,11.5,0.5,59.3,40.7
350308,2001,34.9,0.2,63.9,1.0,0.0,47.4,52.6
350690,2001,50.2,12.9,24.8,11.9,0.2,43.8,56.2
350535,2001,50.2,1.5,41.3,6.8,0.2,52.7,47.3
350326,2001,18.8,14.2,54.3,12.5,0.2,51.4,48.6
350328,2001,72.2,7.5,7.8,12.2,0.3,49.7,50.3
350346,2001,37.7,5.0,21.1,36.0,0.3,56.1,43.9
350445,2001,33.4,3.2,40.0,23.2,0.2,49.5,50.5
350366,2001,34.1,2.5,52.8,9.7,0.9,46.3,53.7
350360,2001,78.4,1.9,12.7,7.1,0.0,50.0,50.0
350258,2001,31.3,2.8,53.4,12.2,0.3,48.7,51.3
350363,2001,65.1,0.7,17.3,15.7,1.1,80.2,19.8
350370,2001,86.1,0.0,9.9,2.3,1.7,54.6,45.4
350374,2001,12.4,6.4,68.9,11.2,1.1,58.1,41.9
350380,2001,62.5,1.7,22.3,12.6,1.0,50.8,49.2
4240505,2001,55.7,9.9,27.5,4.6,2.3,45.0,55.0
4810550,2001,80.1,1.6,12.6,5.0,0.7,49.2,50.8
360505,2001,3.0,1.0,1.3,94.6,0.2,49.8,50.2
360325,2001,4.3,0.9,2.3,92.2,0.2,49.2,50.8
360010,2001,4.1,0.6,1.1,94.0,0.2,49.1,50.9
380005,2001,1.0,0.5,0.0,98.5,0.0,54.5,45.5
380013,2001,0.2,1.5,0.7,97.7,0.0,53.2,46.8
390005,2001,0.3,2.5,1.4,95.6,0.3,51.4,48.6
400033,2001,3.0,3.6,1.8,91.5,0.0,52.7,47.3
400505,2001,3.0,4.7,1.6,90.3,0.4,49.8,50.2
400050,2001,3.8,6.8,2.1,87.2,0.0,55.6,44.4
