school_id,year,total_teachers,percent_licensed,total_in_core,percent_highly_qualified,stud_teach_ratio
4450105,2004,69.0,65.2,62,88.7,12.9
10003,2004,33.7,98.5,30,100.0,18.7
10505,2004,37.3,94.1,33,94.2,16.4
10405,2004,19.5,93.3,17,100.0,21.2
10015,2004,17.0,99.5,16,99.5,21.9
4120530,2004,29.0,51.7,28,83.6,11.3
6000505,2004,94.7,100.0,89,100.0,17.8
6000405,2004,62.4,93.6,55,92.8,14.9
30025,2004,40.5,100.0,33,100.0,13.8
30305,2004,30.6,100.0,26,96.2,18.0
6030004,2004,21.0,100.0,17,100.0,13.4
6030505,2004,34.2,87.7,30,98.7,15.4
6030020,2004,42.0,95.2,36,100.0,14.5
50003,2004,8.0,100.0,6,100.0,15.5
50505,2004,92.6,94.8,72,93.3,12.7
50405,2004,58.2,100.0,45,100.0,12.7
50303,2004,49.7,98.0,44,97.7,13.9
50020,2004,28.9,100.0,27,100.0,14.3
50010,2004,28.6,100.0,27,100.0,14.4
50030,2004,29.6,100.0,27,100.0,12.9
50025,2004,30.2,100.0,28,100.0,13.3
70005,2004,34.5,100.0,27,100.0,14.5
70505,2004,60.8,100.0,50,100.0,13.3
70013,2004,58.4,98.3,41,100.0,14.9
70010,2004,41.3,100.0,33,100.0,13.3
80009,2004,37.4,95.5,29,96.6,9.6
80020,2004,44.1,88.9,38,92.5,10.9
80050,2004,44.8,88.1,41,91.2,9.5
6050505,2004,102.0,77.2,85,75.8,13.5
6050405,2004,65.3,84.8,57,86.9,10.2
90505,2004,118.6,100.0,107,100.0,14.4
90310,2004,37.8,100.0,26,100.0,13.1
90003,2004,31.8,100.0,29,100.0,13.1
90305,2004,38.2,90.9,36,100.0,14.5
90010,2004,25.5,100.0,22,100.0,14.6
90004,2004,41.9,99.1,30,100.0,13.5
90005,2004,19.0,100.0,16,100.0,14.0
90020,2004,35.8,100.0,28,100.0,15.5
90025,2004,43.8,100.0,39,100.0,13.6
90350,2004,33.5,94.0,22,93.2,12.1
100505,2004,78.2,96.2,66,95.4,14.0
100010,2004,20.2,100.0,19,88.8,17.7
100025,2004,25.7,100.0,24,91.0,14.6
100030,2004,19.3,99.5,18,99.5,15.3
100005,2004,24.3,100.0,23,95.0,16.4
100055,2004,21.1,100.0,20,90.7,14.1
100038,2004,3.0,100.0,2,100.0,29.0
100410,2004,72.1,94.3,56,92.7,13.5
100045,2004,17.7,91.5,17,87.1,12.9
100050,2004,22.7,99.4,20,93.3,13.9
6100025,2004,30.5,100.0,29,100.0,16.9
6100010,2004,15.7,100.0,14,100.0,13.8
6100505,2004,45.7,97.8,38,97.4,14.9
6100305,2004,37.8,100.0,32,97.5,17.0
6100005,2004,23.7,100.0,22,100.0,16.3
140505,2004,53.2,100.0,45,91.1,11.8
140405,2004,26.5,100.0,23,100.0,14.5
140015,2004,39.4,100.0,33,100.0,15.3
140010,2004,40.3,97.5,35,97.1,15.3
140005,2004,16.8,91.8,10,100.0,21.5
8010605,2004,107.0,91.6,43,90.6,8.4
6150505,2004,43.4,100.0,33,100.0,14.0
6150305,2004,37.3,94.6,27,88.9,13.9
6150020,2004,20.1,100.0,19,100.0,15.0
6150050,2004,10.9,90.8,10,90.4,10.8
4910550,2004,53.0,62.3,42,88.1,13.1
160001,2004,34.6,89.9,31,87.1,12.8
160505,2004,126.1,94.5,103,94.7,15.4
160315,2004,49.6,94.0,44,77.4,14.3
160008,2004,8.8,100.0,6,100.0,17.0
160045,2004,31.5,100.0,29,100.0,15.2
160040,2004,33.0,100.0,30,100.0,14.9
160050,2004,36.1,97.2,33,97.0,15.2
160305,2004,40.3,96.5,30,100.0,14.6
160035,2004,30.5,100.0,28,100.0,14.2
160320,2004,75.2,98.7,69,81.1,9.9
170305,2004,41.4,95.2,33,93.9,13.9
170505,2004,47.8,97.9,40,97.0,13.3
170010,2004,17.1,100.0,15,100.0,15.4
170025,2004,19.9,100.0,15,100.0,15.6
180510,2004,37.4,89.3,31,93.6,12.1
180010,2004,20.2,100.0,18,100.0,12.4
200505,2004,133.9,94.4,115,93.5,14.9
200010,2004,36.7,100.0,27,100.0,10.3
200025,2004,31.1,100.0,29,100.0,10.5
200005,2004,21.0,100.0,19,100.0,13.7
230505,2004,65.3,89.1,56,89.0,11.0
230305,2004,48.8,81.7,41,92.7,10.4
230010,2004,33.4,92.5,30,96.6,15.1
230012,2004,40.7,93.9,37,97.3,12.7
240505,2004,45.0,100.0,39,100.0,15.2
240005,2004,15.0,100.0,14,100.0,21.1
240018,2004,37.5,100.0,36,100.0,17.1
250003,2004,4.8,100.0,4,100.0,3.8
250505,2004,46.3,99.1,39,99.0,16.9
250315,2004,57.3,96.3,50,64.1,14.9
250510,2004,8.0,87.5,7,85.7,6.0
250020,2004,29.7,100.0,27,97.1,14.2
250025,2004,25.2,100.0,23,96.6,13.5
260505,2004,69.3,79.8,68,79.5,16.5
260015,2004,20.6,95.1,18,94.4,11.6
260010,2004,20.9,100.0,18,100.0,14.5
260035,2004,27.8,100.0,25,100.0,15.4
260005,2004,28.1,95.0,25,94.4,15.4
260305,2004,84.2,82.9,77,73.7,13.9
4200205,2004,28.5,52.6,26,58.1,11.5
4470205,2004,38.1,61.7,28,35.9,10.0
270010,2004,38.5,100.0,35,100.0,15.0
270305,2004,30.5,100.0,28,96.4,14.6
6180505,2004,56.0,98.0,44,99.1,11.5
280005,2004,17.8,91.6,15,96.7,13.8
6200505,2004,32.4,96.9,28,100.0,14.2
300055,2004,33.4,100.0,29,100.0,12.8
300505,2004,92.4,100.0,79,100.0,14.3
300305,2004,50.0,100.0,39,100.0,11.4
300010,2004,21.1,100.0,21,100.0,15.7
300015,2004,28.9,100.0,27,100.0,14.7
300033,2004,25.3,100.0,23,100.0,12.3
300040,2004,26.0,100.0,24,100.0,13.3
310505,2004,106.1,92.5,88,92.1,15.4
310030,2004,24.5,100.0,22,100.0,14.0
310007,2004,30.5,100.0,28,100.0,17.0
310026,2004,42.5,100.0,39,100.0,14.5
310012,2004,32.2,100.0,28,100.0,16.8
310310,2004,53.2,94.4,44,95.5,12.8
310305,2004,66.9,98.5,57,98.2,13.5
310015,2004,28.4,100.0,26,100.0,14.2
310005,2004,50.0,100.0,45,100.0,15.2
8050605,2004,79.5,97.5,34,94.0,10.3
6220015,2004,21.2,100.0,20,99.5,11.9
6220505,2004,39.9,97.0,31,91.7,15.1
6220405,2004,41.5,97.6,33,96.9,14.6
6220008,2004,29.7,100.0,29,100.0,15.7
6220010,2004,23.5,100.0,23,100.0,15.7
8060605,2004,92.9,100.0,29,100.0,8.7
350541,2004,6.0,83.3,6,100.0,26.2
350021,2004,21.0,85.7,20,85.0,14.3
350390,2004,44.5,89.9,38,96.0,15.1
350010,2004,11.1,86.5,8,100.0,16.9
350548,2004,4.0,100.0,4,100.0,63.3
