FY_CODE,WPI_ORG_NAME,ORG_CODE,ORG_TYP_CODE,WPI_RACE_AFRAME_CNT,WPI_RACE_AFRAME_PCT,WPI_RACE_ASIAN_CNT,WPI_RACE_ASIAN_PCT,WPI_RACE_HISPANIC_CNT,WPI_RACE_HISPANIC_PCT,WPI_RACE_WHITE_CNT,WPI_RACE_WHITE_PCT,WPI_RACE_NATAME_CNT,WPI_RACE_NATAME_PCT,WPI_RACE_NATHPI_CNT,WPI_RACE_NATHPI_PCT,WPI_RACE_MULTINH_CNT,WPI_RACE_MULTINH_PCT,WPI_GNDR_MALE_CNT,WPI_GNDR_MALE_PCT,WPI_GNDR_FEMALE_CNT,WPI_GNDR_FEMALE_PCT,WPI_GNDR_TOTAL_CNT
1995,CAMBRIDGE,490000,5,2809,34.50%,653,8%,1190,14.60%,3467,42.60%,21,0.30%,,,,,4250,52.20%,3890,47.80%,8140
1995,AGASSIZ,490005,6,73,25.60%,40,14%,15,5.30%,157,55.10%,0,0%,,,,,154,54%,131,46%,285
1995,NEW SCHOOL/CAMBRIDGEPORT,490007,6,50,27.90%,10,5.60%,21,11.70%,96,53.60%,2,1.10%,,,,,103,57.50%,76,42.50%,179
1995,M E FITZGERALD,490010,6,201,41.50%,52,10.70%,35,7.20%,194,40.10%,2,0.40%,,,,,252,52.10%,232,47.90%,484
1995,FLETCHER,490015,6,138,41.30%,7,2.10%,71,21.30%,118,35.30%,0,0%,,,,,187,56%,147,44%,334
1995,HAGGERTY,490020,6,110,43.80%,20,8%,18,7.20%,102,40.60%,1,0.40%,,,,,136,54.20%,115,45.80%,251
1995,CHARLES G HARRINGTON,490025,6,212,31.80%,28,4.20%,83,12.50%,341,51.20%,2,0.30%,,,,,329,49.40%,337,50.60%,666
1995,KING,490030,6,149,38.30%,70,18%,35,9%,134,34.40%,1,0.30%,,,,,201,51.70%,188,48.30%,389
1995,KING OPEN,490035,6,90,29.20%,37,12%,19,6.20%,162,52.60%,0,0%,,,,,142,46.10%,166,53.90%,308
1995,LONGFELLOW,490040,6,80,15%,32,6%,231,43.30%,190,35.60%,1,0.20%,,,,,274,51.30%,260,48.70%,534
1995,MORSE,490045,6,95,31.30%,77,25.30%,22,7.20%,108,35.50%,2,0.70%,,,,,161,53%,143,47%,304
1995,PEABODY,490050,6,112,27.80%,60,14.90%,18,4.50%,210,52.10%,3,0.70%,,,,,202,50.10%,201,49.90%,403
1995,ROBERT F KENNEDY,490055,6,119,30.80%,5,1.30%,92,23.80%,170,44%,0,0%,,,,,201,52.10%,185,47.90%,386
1995,MAYNARD,490060,6,147,33.30%,12,2.70%,139,31.40%,142,32.10%,2,0.50%,,,,,221,50%,221,50%,442
1995,JOHN M TOBIN,490065,6,295,39.10%,56,7.40%,43,5.70%,359,47.60%,1,0.10%,,,,,400,53.10%,354,46.90%,754
1995,GRAHAM/PARKS NEW ALTERN,490080,6,172,47.30%,12,3.30%,22,6%,155,42.60%,3,0.80%,,,,,177,48.60%,187,51.40%,364
1996,CAMBRIDGE,490000,5,2810,35.10%,685,8.60%,1159,14.50%,3329,41.60%,22,0.30%,,,,,4119,51.50%,3886,48.50%,8005
