adminyear,org_code,DistrictName,SchoolName,grade,group,eadv_num,eadv_per,epro_num,epro_per,eni_num,eni_per,ewf_num,ewf_per,madv_num,madv_per,mpro_num,mpro_per,mni_num,mni_per,mwf_num,mwf_per,etotal,mtotal
2008,490005,Cambridge,Maria L. Baldwin,3,All Students,13,30,20,47,9,21,1,2,19,44,18,42,6,14,0,0,43,43
2008,490005,Cambridge,Maria L. Baldwin,3,Non-Low Income,12,41,13,45,4,14,0,0,17,59,9,31,3,10,0,0,29,29
2008,490005,Cambridge,Maria L. Baldwin,3,Low Income,1,7,7,50,5,36,1,7,2,14,9,64,3,21,0,0,14,14
2008,490005,Cambridge,Maria L. Baldwin,3,Male,6,25,12,50,5,21,1,4,10,42,11,46,3,13,0,0,24,24
2008,490005,Cambridge,Maria L. Baldwin,3,Female,7,37,8,42,4,21,0,0,9,47,7,37,3,16,0,0,19,19
2008,490005,Cambridge,Maria L. Baldwin,3,White,10,38,12,46,4,15,0,0,14,54,10,38,2,8,0,0,26,26
2008,490005,Cambridge,Maria L. Baldwin,3,Non-Title 1,13,30,20,47,9,21,1,2,19,44,18,42,6,14,0,0,43,43
2008,490006,Cambridge,Amigos School,3,All Students,10,24,14,34,12,29,5,12,12,29,15,37,7,17,7,17,41,41
2008,490006,Cambridge,Amigos School,3,Non-Low Income,9,39,10,43,2,9,2,9,11,48,9,39,0,0,3,13,23,23
2008,490006,Cambridge,Amigos School,3,Low Income,1,6,4,22,10,56,3,17,1,6,6,33,7,39,4,22,18,18
2008,490006,Cambridge,Amigos School,3,Male,4,18,8,36,5,23,5,23,7,32,6,27,5,23,4,18,22,22
2008,490006,Cambridge,Amigos School,3,Female,6,32,6,32,7,37,0,0,5,26,9,47,2,11,3,16,19,19
2008,490006,Cambridge,Amigos School,3,Hispanic/Latino,0,0,8,42,7,37,4,21,4,21,5,26,5,26,5,26,19,19
2008,490006,Cambridge,Amigos School,3,White,7,58,4,33,1,8,0,0,8,67,3,25,1,8,0,0,12,12
2008,490006,Cambridge,Amigos School,3,Title 1,10,24,14,34,12,29,5,12,12,29,15,37,7,17,7,17,41,41
2008,490007,Cambridge,Cambridgeport,3,All Students,6,19,14,45,6,19,5,16,15,48,7,23,6,19,3,10,31,31
2008,490007,Cambridge,Cambridgeport,3,Non-Low Income,5,21,11,46,5,21,3,13,13,54,6,25,5,21,0,0,24,24
2008,490007,Cambridge,Cambridgeport,3,Male,1,9,5,45,2,18,3,27,4,36,1,9,3,27,3,27,11,11
2008,490007,Cambridge,Cambridgeport,3,Female,5,25,9,45,4,20,2,10,11,55,6,30,3,15,0,0,20,20
2008,490007,Cambridge,Cambridgeport,3,White,5,45,6,55,0,0,0,0,8,73,3,27,0,0,0,0,11,11
2008,490007,Cambridge,Cambridgeport,3,Non-Title 1,6,19,14,45,6,19,5,16,15,48,7,23,6,19,3,10,31,31
2008,490020,Cambridge,Haggerty,3,All Students,4,11,17,45,11,29,6,16,6,16,11,29,11,29,10,26,38,38
2008,490020,Cambridge,Haggerty,3,Non-Low Income,4,14,13,46,8,29,3,11,6,21,10,36,8,29,4,14,28,28
2008,490020,Cambridge,Haggerty,3,Low Income,0,0,4,40,3,30,3,30,0,0,1,10,3,30,6,60,10,10
2008,490020,Cambridge,Haggerty,3,Male,1,5,10,48,8,38,2,10,4,19,6,29,7,33,4,19,21,21
2008,490020,Cambridge,Haggerty,3,Female,3,18,7,41,3,18,4,24,2,12,5,29,4,24,6,35,17,17
2008,490020,Cambridge,Haggerty,3,White,3,12,15,58,6,23,2,8,6,23,9,35,8,31,3,12,26,26
2008,490020,Cambridge,Haggerty,3,Special Ed,1,6,2,13,7,44,6,38,1,6,2,13,5,31,8,50,16,16
2008,490020,Cambridge,Haggerty,3,Non-Title 1,4,11,17,45,11,29,6,16,6,16,11,29,11,29,10,26,38,38
2008,490030,Cambridge,Martin Luther King Jr.,3,All Students,0,0,1,6,9,50,8,44,0,0,0,0,7,39,11,61,18,18
2008,490030,Cambridge,Martin Luther King Jr.,3,Male,0,0,0,0,6,46,7,54,0,0,0,0,6,46,7,54,13,13
2008,490030,Cambridge,Martin Luther King Jr.,3,Black,0,0,1,7,7,50,6,43,0,0,0,0,5,36,9,64,14,14
2008,490030,Cambridge,Martin Luther King Jr.,3,Title 1,0,0,1,6,9,50,8,44,0,0,0,0,7,39,11,61,18,18
2008,490035,Cambridge,King Open,3,All Students,4,9,19,43,13,30,8,18,3,7,19,43,13,30,9,20,44,44
