District Name,Year,school_id,Name,County,Grade,Total,pAA,AA,pAsian,Asian,pHispanic,Hispanic,pMulti,Multi,pNative,Native,pWhite,White
Cambridge,2009,490005,Maria L. Baldwin,Middlesex,1,40,30,12,10,4,8,3,13,5,0,0,40,16
Cambridge,2009,490005,Maria L. Baldwin,Middlesex,2,42,19,8,19,8,5,2,10,4,0,0,48,20
Cambridge,2009,490005,Maria L. Baldwin,Middlesex,3,39,44,17,3,1,15,6,0,0,3,1,36,14
Cambridge,2009,490005,Maria L. Baldwin,Middlesex,4,40,23,9,10,4,5,2,3,1,0,0,60,24
Cambridge,2009,490005,Maria L. Baldwin,Middlesex,5,39,38,15,5,2,5,2,5,2,3,1,44,17
Cambridge,2009,490005,Maria L. Baldwin,Middlesex,6,31,35,11,6,2,13,4,3,1,0,0,42,13
Cambridge,2009,490005,Maria L. Baldwin,Middlesex,7,45,36,16,13,6,9,4,0,0,0,0,42,19
Cambridge,2009,490005,Maria L. Baldwin,Middlesex,8,42,48,20,10,4,12,5,0,0,0,0,31,13
Cambridge,2009,490005,Maria L. Baldwin,Middlesex,K,58,17,10,10,6,7,4,3,2,0,0,60,35
Cambridge,2009,490006,Amigos School,Middlesex,1,39,5,2,3,1,59,23,5,2,0,0,28,11
Cambridge,2009,490006,Amigos School,Middlesex,2,32,9,3,0,0,59,19,6,2,0,0,25,8
Cambridge,2009,490006,Amigos School,Middlesex,3,29,7,2,3,1,48,14,0,0,0,0,41,12
Cambridge,2009,490006,Amigos School,Middlesex,4,43,14,6,5,2,51,22,2,1,0,0,28,12
Cambridge,2009,490006,Amigos School,Middlesex,5,29,3,1,3,1,62,18,0,0,3,1,28,8
Cambridge,2009,490006,Amigos School,Middlesex,6,28,4,1,0,0,68,19,0,0,0,0,29,8
Cambridge,2009,490006,Amigos School,Middlesex,7,25,4,1,0,0,72,18,0,0,0,0,24,6
Cambridge,2009,490006,Amigos School,Middlesex,8,23,9,2,0,0,61,14,0,0,0,0,30,7
Cambridge,2009,490006,Amigos School,Middlesex,K,51,6,3,2,1,43,22,12,6,0,0,37,19
Cambridge,2009,490007,Cambridgeport,Middlesex,1,25,8,2,20,5,20,5,0,0,0,0,52,13
Cambridge,2009,490007,Cambridgeport,Middlesex,2,31,23,7,6,2,10,3,10,3,0,0,52,16
